ticker,quarter_end_date,nav,announcement_date,Unnamed: 0,trade_date,permno,ticker_1,price,ret,vol,shrout
ARCC,2017-06-30,16.54,2017-08-02 00:00:00,420,2017-08-02 00:00:00,90401,ARCC,16.45,0.002438,1683591.0,426299.0
ARCC,2017-06-30,16.54,2017-08-02 00:00:00,421,2017-08-03 00:00:00,90401,ARCC,16.4,-0.00304,1647892.0,426299.0
ARCC,2017-06-30,16.54,2017-08-02 00:00:00,422,2017-08-04 00:00:00,90401,ARCC,16.43,0.001829,1290986.0,426299.0
ARCC,2017-03-31,16.53,2017-05-03 00:00:00,355,2017-05-01 00:00:00,90401,ARCC,17.54,-0.003409,2347588.0,426299.0
ARCC,2017-03-31,16.53,2017-05-03 00:00:00,356,2017-05-02 00:00:00,90401,ARCC,17.53,-0.00057,1824822.0,426299.0
ARCC,2017-03-31,16.53,2017-05-03 00:00:00,357,2017-05-03 00:00:00,90401,ARCC,16.79,-0.042213,8681751.0,426299.0
ARCC,2017-03-31,16.53,2017-05-03 00:00:00,358,2017-05-04 00:00:00,90401,ARCC,16.68,-0.006552,3476416.0,426299.0
ARCC,2017-03-31,16.53,2017-05-03 00:00:00,359,2017-05-05 00:00:00,90401,ARCC,16.62,-0.003597,2830749.0,426299.0
ARCC,2016-12-31,16.45,2017-02-22 00:00:00,307,2017-02-21 00:00:00,90401,ARCC,17.7,0.002265,3788818.0,425941.0
ARCC,2016-12-31,16.45,2017-02-22 00:00:00,308,2017-02-22 00:00:00,90401,ARCC,17.75,0.002825,4072300.0,425941.0
ARCC,2016-12-31,16.45,2017-02-22 00:00:00,309,2017-02-23 00:00:00,90401,ARCC,17.78,0.00169,3607068.0,425941.0
ARCC,2016-12-31,16.45,2017-02-22 00:00:00,310,2017-02-24 00:00:00,90401,ARCC,17.79,0.000562,2585855.0,425941.0
ARCC,2016-09-30,16.59,2016-11-02 00:00:00,231,2016-10-31 00:00:00,90401,ARCC,15.3,-0.011628,1372805.0,313954.0
ARCC,2016-09-30,16.59,2016-11-02 00:00:00,232,2016-11-01 00:00:00,90401,ARCC,15.16,-0.00915,2266305.0,313954.0
ARCC,2016-09-30,16.59,2016-11-02 00:00:00,233,2016-11-02 00:00:00,90401,ARCC,15.23,0.004617,2211083.0,313954.0
ARCC,2016-09-30,16.59,2016-11-02 00:00:00,234,2016-11-03 00:00:00,90401,ARCC,15.22,-0.000657,2587896.0,313954.0
ARCC,2016-09-30,16.59,2016-11-02 00:00:00,235,2016-11-04 00:00:00,90401,ARCC,15.27,0.003285,2294940.0,313954.0
ARCC,2016-06-30,16.58,2016-08-03 00:00:00,167,2016-08-01 00:00:00,90401,ARCC,15.29,0.009908,1800569.0,313954.0
ARCC,2016-06-30,16.58,2016-08-03 00:00:00,168,2016-08-02 00:00:00,90401,ARCC,15.12,-0.011118,2658325.0,313954.0
ARCC,2016-06-30,16.58,2016-08-03 00:00:00,169,2016-08-03 00:00:00,90401,ARCC,15.39,0.017857,2210972.0,313954.0
ARCC,2016-06-30,16.58,2016-08-03 00:00:00,170,2016-08-04 00:00:00,90401,ARCC,15.54,0.009747,2560606.0,313954.0
ARCC,2016-06-30,16.58,2016-08-03 00:00:00,171,2016-08-05 00:00:00,90401,ARCC,15.46,-0.005148,1378532.0,313954.0
ARCC,2016-03-31,16.5,2016-05-04 00:00:00,104,2016-05-02 00:00:00,90401,ARCC,15.18,-0.000658,847319.0,313954.0
ARCC,2016-03-31,16.5,2016-05-04 00:00:00,105,2016-05-03 00:00:00,90401,ARCC,15.08,-0.006588,1027122.0,313954.0
ARCC,2016-03-31,16.5,2016-05-04 00:00:00,106,2016-05-04 00:00:00,90401,ARCC,15.26,0.011936,1051271.0,313954.0
ARCC,2016-03-31,16.5,2016-05-04 00:00:00,107,2016-05-05 00:00:00,90401,ARCC,15.09,-0.01114,834221.0,313954.0
ARCC,2016-03-31,16.5,2016-05-04 00:00:00,108,2016-05-06 00:00:00,90401,ARCC,15.17,0.005302,661826.0,313954.0
ARCC,2015-12-31,16.46,2016-02-24 00:00:00,55,2016-02-22 00:00:00,90401,ARCC,12.83,0.006275,3643214.0,314347.0
ARCC,2015-12-31,16.46,2016-02-24 00:00:00,56,2016-02-23 00:00:00,90401,ARCC,12.92,0.007015,1505792.0,314347.0
ARCC,2015-12-31,16.46,2016-02-24 00:00:00,57,2016-02-24 00:00:00,90401,ARCC,12.92,0.0,2100705.0,314347.0
ARCC,2015-12-31,16.46,2016-02-24 00:00:00,58,2016-02-25 00:00:00,90401,ARCC,13.39,0.036378,2749160.0,314347.0
ARCC,2015-12-31,16.46,2016-02-24 00:00:00,59,2016-02-26 00:00:00,90401,ARCC,13.51,0.008962,2112166.0,314347.0
ARCC,2024-09-30,19.74,2024-10-30 00:00:00,2241,2024-10-28 00:00:00,90401,ARCC,21.67,0.004171,1868814.0,646076.0
ARCC,2024-09-30,19.74,2024-10-30 00:00:00,2242,2024-10-29 00:00:00,90401,ARCC,21.57,-0.004615,2558499.0,646076.0
ARCC,2024-09-30,19.74,2024-10-30 00:00:00,2243,2024-10-30 00:00:00,90401,ARCC,21.34,-0.010663,4166251.0,646076.0
ARCC,2024-09-30,19.74,2024-10-30 00:00:00,2244,2024-10-31 00:00:00,90401,ARCC,21.14,-0.009372,2792552.0,646076.0
ARCC,2024-09-30,19.74,2024-10-30 00:00:00,2245,2024-11-01 00:00:00,90401,ARCC,21.0,-0.006622,3403244.0,646076.0
ARCC,2024-06-30,19.61,2024-07-30 00:00:00,2177,2024-07-29 00:00:00,90401,ARCC,20.89,-0.002864,2695723.0,630387.0
ARCC,2024-06-30,19.61,2024-07-30 00:00:00,2178,2024-07-30 00:00:00,90401,ARCC,21.28,0.018669,4234355.0,630387.0
ARCC,2024-06-30,19.61,2024-07-30 00:00:00,2179,2024-07-31 00:00:00,90401,ARCC,20.94,-0.015977,4405660.0,630387.0
ARCC,2024-06-30,19.61,2024-07-30 00:00:00,2180,2024-08-01 00:00:00,90401,ARCC,20.83,-0.005253,2961250.0,630387.0
ARCC,2024-06-30,19.61,2024-07-30 00:00:00,2181,2024-08-02 00:00:00,90401,ARCC,20.29,-0.025924,6825955.0,630387.0
ARCC,2024-03-31,19.53,2024-05-01 00:00:00,2115,2024-04-29 00:00:00,90401,ARCC,20.81,0.001444,2736399.0,607764.0
ARCC,2024-03-31,19.53,2024-05-01 00:00:00,2116,2024-04-30 00:00:00,90401,ARCC,20.61,-0.009611,2536547.0,607764.0
