permno,ticker,price,ret,vol,shrout,trade_date
92309,MAIN,42.44,-0.000942,403393.0,69583.0,2022-03-30
92309,MAIN,42.64,0.004713,459780.0,71692.0,2022-03-31
92309,MAIN,42.6,0.004104,266705.0,71692.0,2022-04-01
92309,MAIN,42.02,-0.013615,315888.0,71692.0,2022-04-04
92309,MAIN,41.99,-0.000714,264679.0,71692.0,2022-04-05
92309,MAIN,41.14,-0.020243,410186.0,71692.0,2022-04-06
92309,MAIN,41.32,0.004375,322571.0,71692.0,2022-04-07
92309,MAIN,41.61,0.007018,217421.0,71692.0,2022-04-08
92309,MAIN,41.22,-0.009373,242436.0,71692.0,2022-04-11
92309,MAIN,41.22,0.0,226603.0,71692.0,2022-04-12
92309,MAIN,41.86,0.015526,224501.0,71692.0,2022-04-13
92309,MAIN,41.7,-0.003822,317972.0,71692.0,2022-04-14
92309,MAIN,42.02,0.007674,268609.0,71692.0,2022-04-18
92309,MAIN,42.94,0.021894,305777.0,71692.0,2022-04-19
92309,MAIN,43.65,0.016535,438736.0,71692.0,2022-04-20
92309,MAIN,43.04,-0.013975,357711.0,71692.0,2022-04-21
92309,MAIN,42.19,-0.019749,332835.0,71692.0,2022-04-22
92309,MAIN,42.62,0.010192,327273.0,71692.0,2022-04-25
92309,MAIN,40.44,-0.05115,523136.0,71692.0,2022-04-26
92309,MAIN,41.02,0.014342,376085.0,71692.0,2022-04-27
92309,MAIN,41.34,0.007801,281959.0,71692.0,2022-04-28
92309,MAIN,40.24,-0.026609,438540.0,71692.0,2022-04-29
92309,MAIN,39.2,-0.020502,603534.0,71692.0,2022-05-02
92309,MAIN,40.39,0.030357,331749.0,71692.0,2022-05-03
92309,MAIN,41.15,0.018817,307052.0,71692.0,2022-05-04
92309,MAIN,39.71,-0.034994,393498.0,71692.0,2022-05-05
92309,MAIN,40.54,0.020902,398240.0,71692.0,2022-05-06
92309,MAIN,38.61,-0.047607,538410.0,71692.0,2022-05-09
92309,MAIN,38.89,0.007252,454044.0,71692.0,2022-05-10
92309,MAIN,38.03,-0.022114,422033.0,71692.0,2022-05-11
92309,MAIN,36.97,-0.027873,589434.0,71692.0,2022-05-12
92309,MAIN,37.82,0.022992,436485.0,71692.0,2022-05-13
92309,MAIN,38.49,0.017716,334023.0,71692.0,2022-05-16
92309,MAIN,39.15,0.017147,259788.0,71692.0,2022-05-17
92309,MAIN,37.89,-0.032184,303849.0,71692.0,2022-05-18
92309,MAIN,37.29,-0.015835,291065.0,71692.0,2022-05-19
92309,MAIN,35.96,-0.035666,680655.0,71692.0,2022-05-20
92309,MAIN,36.46,0.013904,341443.0,71692.0,2022-05-23
92309,MAIN,36.12,-0.009325,322475.0,71692.0,2022-05-24
92309,MAIN,36.94,0.022702,289569.0,71692.0,2022-05-25
92309,MAIN,37.56,0.016784,322014.0,71692.0,2022-05-26
92309,MAIN,38.43,0.023163,319966.0,71692.0,2022-05-27
92309,MAIN,38.13,-0.007806,510947.0,72979.0,2022-05-31
92309,MAIN,37.89,-0.000656,272017.0,72979.0,2022-06-01
92309,MAIN,38.25,0.009501,222152.0,72979.0,2022-06-02
92309,MAIN,37.61,-0.016732,322353.0,72979.0,2022-06-03
92309,MAIN,38.38,0.020473,335820.0,72979.0,2022-06-06
92309,MAIN,38.58,0.005211,239043.0,72979.0,2022-06-07
92309,MAIN,38.02,-0.014515,258887.0,72979.0,2022-06-08
92309,MAIN,37.57,-0.011836,280610.0,72979.0,2022-06-09
92309,MAIN,36.8,-0.020495,650946.0,72979.0,2022-06-10
92309,MAIN,35.19,-0.04375,778493.0,72979.0,2022-06-13
92309,MAIN,35.12,-0.001989,762899.0,72979.0,2022-06-14
92309,MAIN,35.81,0.019647,591446.0,72979.0,2022-06-15
92309,MAIN,34.59,-0.034069,651017.0,72979.0,2022-06-16
